ticker,semidev,price,shares,market_cap,px_asof,n_closes
FTNT,29.757778,158.01,741300000.0,117132813000.0,2026-08-18,753
FTV,15.06956,59.45,307600000.0,18286820000.0,2026-08-18,753
GD,13.106322,393.48,273800000.0,107734824000.0,2026-08-18,753
GE,20.235884,375.09,1048672600.0,393346605534.0,2026-08-18,753
GOOGL,15.940486,344.2,12309000000.0,4236757800000.0,2026-08-18,753
GPC,23.466098,131.89,138017000.0,18203062130.0,2026-08-18,753
GPN,22.615237,90.37,259420000.0,23443785400.0,2026-08-18,753
GRMN,19.750251,297.44,193471000.0,57546014240.0,2026-08-18,753
GS,14.505409,1040.47,304900000.0,317239303000.0,2026-08-18,753
GWW,15.807432,1314.12,47300000.0,62157876000.0,2026-08-18,753
HBAN,17.140058,17.66,1975000000.0,34878500000.0,2026-08-18,753
HCA,20.363429,411.73,222828000.0,91744972440.0,2026-08-18,753
HD,14.70384,337.49,996000000.0,336140040000.0,2026-08-18,753
HEI,19.136487,368.01,141068000.0,51914434680.0,2026-08-18,753
HLT,13.526582,327.74,229000000.0,75052460000.0,2026-08-18,753
HOLX,17.716809,76.01,225879000.0,17169062790.0,2026-04-07,661
HON,13.778596,227.71,319000000.0,72639490000.0,2026-08-18,753
HRL,20.9335,24.34,550810000.0,13406715400.0,2026-08-18,753
HSY,18.295627,183.45,204274600.0,37474175370.0,2026-08-18,753
IBM,22.980444,232.67,952700000.0,221664709000.0,2026-08-18,753
ICE,15.288132,156.18,566000000.0,88397880000.0,2026-08-18,753
IDXX,18.947479,553.32,80675000.0,44639091000.0,2026-08-18,753
IEX,16.798745,234.16,74200000.0,17374672000.0,2026-08-18,753
INTU,32.127972,350.41,276000000.0,96713160000.0,2026-08-18,753
IQV,23.937806,240.03,168600000.0,40469058000.0,2026-08-18,753
ISRG,17.355814,391.18,358500000.0,140238030000.0,2026-08-18,753
IT,39.911382,182.07,66581000.0,12122402670.0,2026-08-18,753
ITW,12.58702,284.66,287000000.0,81697420000.0,2026-08-18,753
J,20.454555,142.86,119006000.0,17001197160.0,2026-08-18,753
JBHT,19.657125,274.19,94944000.0,26032695360.0,2026-08-18,753
JCI,15.826505,149.68,613000000.0,91753840000.0,2026-08-18,753
JNJ,11.830372,271.11,2440100000.0,661535511000.0,2026-08-18,753
JPM,13.943,363.25,2793700000.0,1014811525000.0,2026-08-18,753
KDP,19.647464,30.79,1364500000.0,42012955000.0,2026-08-18,753
KEYS,16.455086,341.0,173000000.0,58993000000.0,2026-08-18,753
KO,10.734303,88.82,4313000000.0,383080660000.0,2026-08-18,753
KR,16.936256,56.34,615000000.0,34649100000.0,2026-08-18,753
LH,15.258502,322.18,82000000.0,26418760000.0,2026-08-18,753
LHX,16.42425,279.54,188235300.0,52619295762.0,2026-08-18,753
LII,22.638198,411.05,34800000.0,14304540000.0,2026-08-18,753
LIN,11.453773,478.705,464523000.0,222369482715.0,2026-08-18,753
LMT,20.009229,607.17,231100000.0,140316987000.0,2026-08-18,753
LOW,16.120423,215.64,560000000.0,120758400000.0,2026-08-18,753
LVS,24.680721,45.47,663000000.0,30146610000.0,2026-08-18,753
MA,14.516296,574.31,883000000.0,507115730000.0,2026-08-18,753
MAR,14.364878,357.33,269400000.0,96264702000.0,2026-08-18,753
MAS,17.684217,73.38,198750000.0,14584275000.0,2026-08-18,753
MCD,12.110348,266.99,713500000.0,190497365000.0,2026-08-18,753
MCK,19.484203,869.26,119200000.0,103615792000.0,2026-08-18,753
MDLZ,15.594324,62.66,1292000000.0,80956720000.0,2026-08-18,753
MDT,13.760659,92.09,1288100000.0,118621129000.0,2026-08-18,753
MET,14.321265,96.73,655700000.0,63425861000.0,2026-08-18,753
META,19.767516,543.67,2566000000.0,1395057220000.0,2026-08-18,753
MKC,19.561346,55.28,269200000.0,14881376000.0,2026-08-18,753
MMC,14.364781,182.7,494000000.0,90253800000.0,2026-01-13,604
MMM,15.309532,180.94,527600000.0,95463944000.0,2026-08-18,753
MRK,18.3818,135.17,2472000000.0,334140240000.0,2026-08-18,753
MS,13.431297,217.55,1593000000.0,346557150000.0,2026-08-18,753
MSCI,18.256541,562.77,73100000.0,41138487000.0,2026-08-18,753
MSFT,15.820456,481.63,7453000000.0,3589588390000.0,2026-08-18,753
MSI,17.763475,469.5,167200000.0,78500400000.0,2026-08-18,753
MTB,14.40963,251.5,156553000.0,39373079500.0,2026-08-18,753
MTD,22.463756,1399.67,20166300.0,28226165121.0,2026-08-18,753
NDAQ,15.791751,96.71,567800000.0,54911938000.0,2026-08-18,753
NEE,18.623812,86.22,2089000000.0,180113580000.0,2026-08-18,753
NFLX,22.958943,77.77,4261300000.0,331401301000.0,2026-08-18,753
NKE,27.923398,40.06,1482900000.0,59404974000.0,2026-08-18,753
NOC,18.399849,589.14,142400000.0,83893536000.0,2026-08-18,753
NSC,12.330343,338.91,225102900.0,76289623839.0,2026-08-18,753
NTAP,20.596853,204.71,199000000.0,40737290000.0,2026-08-18,753
NTRS,14.198004,190.58,184890000.0,35236336200.0,2026-08-18,753
NXPI,20.973914,228.56,254021000.0,58059039760.0,2026-08-18,753
ODFL,24.228476,208.0,208715000.0,43412720000.0,2026-08-18,753
OMC,21.916785,86.31,204900000.0,17684919000.0,2026-08-18,753
ORLY,15.056962,90.76,828875000.0,75228695000.0,2026-08-18,753
OTIS,18.369473,70.35,386400000.0,27183240000.0,2026-08-18,753
PANW,24.034205,374.14,744000000.0,278360160000.0,2026-08-18,753
PAYX,18.24866,119.93,358200000.0,42958926000.0,2026-08-18,753
PCAR,15.827355,128.02,527600000.0,67543352000.0,2026-08-18,753
PEG,14.239683,75.6,500000000.0,37800000000.0,2026-08-18,753
PEP,13.863056,140.13,1369000000.0,191837970000.0,2026-08-18,753
PH,14.035074,1041.85,127800000.0,133148430000.0,2026-08-18,753
PM,19.302156,187.62,1562820500.0,293216382210.0,2026-08-18,753
PNC,13.711702,254.28,403950100.0,102716431428.0,2026-08-18,753
POOL,23.417412,187.5,36280000.0,6802500000.0,2026-08-18,753
PPL,12.49163,35.62,757225000.0,26972354500.0,2026-08-18,753
PTC,19.19323,146.48,114978000.0,16841977440.0,2026-08-18,753
QCOM,24.082712,160.19,1069000000.0,171243110000.0,2026-08-18,753
RCL,25.698046,300.0,270000000.0,81000000000.0,2026-08-18,753
REGN,28.206128,810.24,106800000.0,86533632000.0,2026-08-18,753
RF,15.622173,31.7,857000000.0,27166900000.0,2026-08-18,753
RJF,16.265594,179.3,197200000.0,35357960000.0,2026-08-18,753
RMD,17.80336,219.98,144976000.0,31891820480.0,2026-08-18,753
ROK,15.649301,433.67,112600000.0,48831242000.0,2026-08-18,753
ROP,17.837367,394.17,102600000.0,40441842000.0,2026-08-18,753
ROST,15.721878,236.38,321231000.0,75932583780.0,2026-08-18,753
RSG,13.193037,216.97,307600000.0,66739972000.0,2026-08-18,753
RTX,16.049046,225.49,1364700000.0,307726203000.0,2026-08-18,753
SBUX,18.333843,106.01,1143800000.0,121254238000.0,2026-08-18,753
SCHW,17.932597,111.68,1739000000.0,194211520000.0,2026-08-18,753
SHW,14.264461,345.27,247100000.0,85316217000.0,2026-08-18,753
SNPS,44.434534,404.41,191580000.0,77476867800.0,2026-08-18,753
SO,11.712343,92.07,1141000000.0,105051870000.0,2026-08-18,753
SPGI,19.607306,418.04,295500000.0,123530820000.0,2026-08-18,753
SRE,17.114989,87.18,655945000.0,57185285100.0,2026-08-18,753
STE,14.841798,232.39,97900000.0,22750981000.0,2026-08-18,753
STT,14.711489,191.87,282874000.0,54275034380.0,2026-08-18,753
SWK,22.61482,98.4,152389000.0,14995077600.0,2026-08-18,753
SYF,19.677637,80.58,334100000.0,26921778000.0,2026-08-18,753
SYK,14.483448,331.37,386000000.0,127908820000.0,2026-08-18,753
SYY,19.342802,81.96,480612000.0,39390959520.0,2026-08-18,753
T,15.596621,24.9,6946000000.0,172955400000.0,2026-08-18,753
TDG,20.585369,1233.78,57900000.0,71435862000.0,2026-08-18,753
TDY,13.206457,665.0,46900000.0,31188500000.0,2026-08-18,753
TEL,18.832985,204.97,293000000.0,60056210000.0,2026-08-18,753
TFC,14.481707,52.41,1239040000.0,64938086400.0,2026-08-18,753
TGT,23.546254,152.48,455800000.0,69500384000.0,2026-08-18,753
TJX,11.473452,150.85,1120000000.0,168952000000.0,2026-08-18,753
TMO,17.974611,589.04,371000000.0,218533840000.0,2026-08-18,753
TMUS,18.247163,182.75,1082410000.0,197810427500.0,2026-08-18,753
TT,16.618099,463.37,223100000.0,103377847000.0,2026-08-18,753
TXT,16.953829,87.13,175006000.0,15248272780.0,2026-08-18,753
TYL,25.437308,332.21,41853000.0,13903985130.0,2026-08-18,753
UAL,26.612231,118.72,326600000.0,38773952000.0,2026-08-18,753
UNH,32.996395,393.93,906000000.0,356900580000.0,2026-08-18,753
UNP,13.183464,298.74,594000000.0,177451560000.0,2026-08-18,753
UPS,22.409138,101.93,851000000.0,86742430000.0,2026-08-18,753
URI,22.961871,1116.38,63600000.0,71001768000.0,2026-08-18,753
USB,14.146694,64.79,1555000000.0,100748450000.0,2026-08-18,753
V,13.976906,364.25,1933000000.0,704095250000.0,2026-08-18,753
VRSK,22.603084,178.86,130850500.0,23403920430.0,2026-08-18,753
VRSN,18.965272,275.93,91100000.0,25137223000.0,2026-08-18,753
VRTX,26.101927,528.19,255700000.0,135058183000.0,2026-08-18,753
VZ,14.601456,48.54,4171000000.0,202460340000.0,2026-08-18,753
WAB,13.889396,294.72,170100000.0,50131872000.0,2026-08-18,753
WAT,26.344507,401.25,98204000.0,39404355000.0,2026-08-18,753
WEC,11.200932,111.05,328900000.0,36524345000.0,2026-08-18,753
WFC,18.363239,87.4,3080000000.0,269192000000.0,2026-08-18,753
WM,13.884059,223.58,403300000.0,90169814000.0,2026-08-18,753
WMT,16.201207,115.2,7999000000.0,921484800000.0,2026-08-18,753
WSM,23.276835,241.39,119894000.0,28941212660.0,2026-08-18,753
WST,31.94738,346.59,71300000.0,24711867000.0,2026-08-18,753
WTW,20.966583,327.9,94000000.0,30822600000.0,2026-08-18,753
WYNN,22.62251,101.29,103390000.0,10472373100.0,2026-08-18,753
XEL,12.794324,79.17,627000000.0,49639590000.0,2026-08-18,753
XYL,14.955594,113.94,236574000.0,26955241560.0,2026-08-18,753
YUM,14.593551,144.86,279000000.0,40415940000.0,2026-08-18,753
ZBRA,24.605279,366.42,50652200.0,18559979124.0,2026-08-18,753
