ticker,semidev,price,shares,market_cap,px_asof,n_closes
A,17.22345,148.44,284000000.0,42156960000.0,2026-08-18,753
AAPL,13.323488,310.03,14750302000.0,4573036129060.0,2026-08-18,753
ABBV,18.042683,258.92,1771000000.0,458547320000.0,2026-08-18,753
ABNB,19.515958,183.25,597000000.0,109400250000.0,2026-08-18,753
ABT,18.176893,112.68,1743000000.0,196401240000.0,2026-08-18,753
ACGL,16.343628,98.91,348800000.0,34499808000.0,2026-08-18,753
ACN,22.601089,172.93,615593400.0,106454566662.0,2026-08-18,753
ADBE,23.881563,263.14,402000000.0,105782280000.0,2026-08-18,753
ADI,17.195008,376.63,490458000.0,184721196540.0,2026-08-18,753
ADM,18.57058,81.93,485000000.0,39736050000.0,2026-08-18,753
ADP,15.412333,269.31,399428600.0,107570116266.0,2026-08-18,753
ADSK,20.438413,246.79,212000000.0,52319480000.0,2026-08-18,753
AEE,11.648163,109.67,278600000.0,30554062000.0,2026-08-18,753
AEP,12.687687,126.35,550628100.0,69571860435.0,2026-08-18,753
AES,29.527054,14.74,715000000.0,10539100000.0,2026-08-18,753
AFL,12.609764,121.12,505578000.0,61235607360.0,2026-08-18,753
AIG,16.895625,76.12,537800000.0,40937336000.0,2026-08-18,753
AIZ,16.482589,280.07,49831400.0,13956280198.0,2026-08-18,753
AJG,20.621034,248.36,258685000.0,64247006600.0,2026-08-18,753
AKAM,33.253372,115.2,153686000.0,17704627200.0,2026-08-18,753
ALB,40.058549,132.71,136212000.0,18076694520.0,2026-08-18,753
ALGN,43.32135,167.91,71629000.0,12027225390.0,2026-08-18,753
ALL,17.314281,261.15,259100000.0,67663965000.0,2026-08-18,753
ALLE,17.098661,159.83,86000000.0,13745380000.0,2026-08-18,753
AMAT,27.353019,514.33,800000000.0,411464000000.0,2026-08-18,753
AMCR,20.058157,45.86,463800000.0,21269868000.0,2026-08-18,753
AMD,32.550588,484.39,1655000000.0,801665450000.0,2026-08-18,753
AME,11.869999,249.99,229845000.0,57458951550.0,2026-08-18,753
AMGN,17.606153,425.28,544000000.0,231352320000.0,2026-08-18,753
AMP,15.676246,562.12,92900000.0,52220948000.0,2026-08-18,753
AMT,17.953901,172.33,466578000.0,80405386740.0,2026-08-18,753
AMZN,16.485549,259.45,10903000000.0,2828783350000.0,2026-08-18,753
ANET,34.51983,193.18,1274900000.0,246285182000.0,2026-08-18,753
AON,17.489115,343.2,214600000.0,73650720000.0,2026-08-18,753
AOS,17.163155,60.86,138511000.0,8429779460.0,2026-08-18,753
APA,33.482897,42.365,354000000.0,14997210000.0,2026-08-18,753
APD,16.227905,303.23,222800000.0,67559644000.0,2026-08-18,753
APH,25.648856,159.57,1289400000.0,205749558000.0,2026-08-18,753
APO,21.783103,133.2875,610000000.0,81305375000.0,2026-08-18,753
APP,51.06976,307.26,337875000.0,103815472500.0,2026-08-18,753
APTV,25.639646,48.6,212100000.0,10308060000.0,2026-08-18,753
ARE,31.743355,45.84,188380000.0,8635339200.0,2026-08-18,753
ARES,25.016537,140.31,226304900.0,31752840519.0,2026-08-18,753
ATO,11.350353,170.51,169374000.0,28879960740.0,2026-08-18,753
AVGO,25.419496,380.0,4876000000.0,1852880000000.0,2026-08-18,753
AVY,13.64513,177.71,76700000.0,13630357000.0,2026-08-18,753
AWK,15.381269,136.27,196000000.0,26708920000.0,2026-08-18,753
AXON,35.863991,619.85,82518000.0,51148782300.0,2026-08-18,753
AXP,16.321043,338.52,678000000.0,229516560000.0,2026-08-18,753
AZO,18.010148,3073.2,16852000.0,51789566400.0,2026-08-18,753
BA,20.477095,223.06,791044800.0,176450453088.0,2026-08-18,753
BAC,14.059611,64.23,7294200000.0,468506466000.0,2026-08-18,753
BALL,17.855886,61.67,267271000.0,16482602570.0,2026-08-18,753
BAX,34.215036,25.94,518000000.0,13436920000.0,2026-08-18,753
BBY,23.728428,87.27,211300000.0,18440151000.0,2026-08-18,753
BDX,17.173645,180.77,275158000.0,49740311660.0,2026-08-18,753
BEN,16.457649,33.99,516000000.0,17538840000.0,2026-08-18,753
BF-B,29.639106,27.15,459310000.0,12470266500.0,2026-08-18,753
BG,19.494813,114.36,196000000.0,22414560000.0,2026-08-18,753
BIIB,21.07849,212.55,148700000.0,31606185000.0,2026-08-18,753
BKNG,20.607466,208.25,770000000.0,160352500000.0,2026-08-18,753
BKR,20.546949,64.44,996000000.0,64182240000.0,2026-08-18,753
BLDR,27.296228,67.62,108710000.0,7350970200.0,2026-08-18,753
BLK,13.984444,1154.35,164800000.0,190236880000.0,2026-08-18,753
BMY,18.095861,66.05,2048000000.0,135270400000.0,2026-08-18,753
BNY,12.390089,163.93,698164000.0,114450024520.0,2026-08-18,753
BR,17.234803,169.86,115600000.0,19635816000.0,2026-08-18,753
BRK-B,10.897321,502.96,2154664000.0,1083709805440.0,2026-08-18,753
BRO,21.217369,69.37,339000000.0,23516430000.0,2026-08-18,753
BSX,24.267262,50.47,1484900000.0,74942903000.0,2026-08-18,753
BX,19.249941,140.59,783634900.0,110171230591.0,2026-08-18,753
BXP,19.633817,66.19,159629000.0,10565843510.0,2026-08-18,753
C,16.225801,137.65,1735600000.0,238905340000.0,2026-08-18,753
CAH,17.669281,234.98,237000000.0,55690260000.0,2026-08-18,753
CARR,21.918772,61.42,839600000.0,51568232000.0,2026-08-18,753
CASY,16.322516,855.0,37281700.0,31875853500.0,2026-08-18,753
CAT,16.644228,840.87,462500000.0,388902375000.0,2026-08-18,753
CB,12.839792,345.29,393000000.0,135698970000.0,2026-08-18,753
CBOE,16.079639,290.99,104900000.0,30524851000.0,2026-08-18,753
CBRE,20.38818,147.3,296987400.0,43746244020.0,2026-08-18,753
CCI,19.142358,74.03,434000000.0,32129020000.0,2026-08-18,753
CCL,26.245913,27.27,1388000000.0,37850760000.0,2026-08-18,753
CDNS,22.589428,316.52,274948000.0,87026540960.0,2026-08-18,753
CDW,28.31574,134.97,127400000.0,17195178000.0,2026-08-18,753
CEG,33.397153,266.83,354000000.0,94457820000.0,2026-08-18,753
CF,27.636304,119.72,153900000.0,18424908000.0,2026-08-18,753
CFG,16.215586,73.46,426681800.0,31344045028.0,2026-08-18,753
CHD,14.849569,99.13,238200000.0,23612766000.0,2026-08-18,753
CHRW,22.732792,144.67,119751000.0,17324377170.0,2026-08-18,753
CHTR,39.320203,148.35,121256000.0,17988327600.0,2026-08-18,753
CI,25.527048,278.5,263962000.0,73513417000.0,2026-08-18,753
CIEN,37.89587,405.54,146314000.0,59336179560.0,2026-08-18,753
CINF,14.096062,171.35,155899400.0,26713362190.0,2026-08-18,753
CL,14.367443,91.46,805814000.0,73699748440.0,2026-08-18,753
CLX,19.054043,105.55,122132000.0,12891032600.0,2026-08-18,753
CMCSA,21.285107,26.2,3570000000.0,93534000000.0,2026-08-18,753
CME,14.019749,271.54,362233000.0,98360748820.0,2026-08-18,753
CMG,27.689381,33.36,1290462000.0,43049812320.0,2026-08-18,753
CMI,17.466906,620.81,138600000.0,86044266000.0,2026-08-18,753
CMS,11.918716,71.06,300566600.0,21358262596.0,2026-08-18,753
CNC,54.825236,65.22,497637000.0,32455885140.0,2026-08-18,753
CNP,12.70099,40.54,666000000.0,26999640000.0,2026-08-18,753
COF,20.182475,221.47,621100000.0,137555017000.0,2026-08-18,753
COHR,40.758044,306.43,202200000.0,61960146000.0,2026-08-18,753
COIN,39.225636,146.23,263412000.0,38518736760.0,2026-08-18,753
COO,23.744023,75.76,195000000.0,14773200000.0,2026-08-18,753
COP,21.22231,129.72,1214255000.0,157513158600.0,2026-08-18,753
COR,23.694447,316.13,193944000.0,61311516720.0,2026-08-18,753
COST,13.448713,961.35,443478800.0,426338344380.0,2026-08-18,753
CPAY,20.558793,406.82,66325000.0,26982336500.0,2026-08-18,753
CPRT,18.809881,31.51,965215000.0,30413924650.0,2026-08-18,753
CPT,13.127433,107.28,102363000.0,10981502640.0,2026-08-18,753
CRH,16.717682,93.25,668800000.0,62365600000.0,2026-08-18,753
